First Name,Last Name,City,State,Account Email,Quarterly,Size,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
Dierdre,Yum,Philadelphia,PA,dyum@yahoo.com,Q1,M,Zip up Jacket,Crewneck Sweater,Hoodie,Polo Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Zip up Jacket,Hoodie,Zip up Jacket
Dominque,Dickerson,Hayward,CA,dominque.dickerson@dickerson.org,Q1,M,LS Shirt,Crewneck Sweater,Hoodie,SS Shirt,LS Shirt,LS Shirt,Hoodie,SS Shirt,LS Shirt,LS Shirt
Donette,Foller,Hamilton,OH,donette.foller@cox.net,Q1,XL,LS Shirt,Polo Shirt,SS Shirt,LS Shirt,Hoodie,SS Shirt,LS Shirt,LS Shirt,Hoodie,Hoodie
Donte,Kines,Worcester,MA,dkines@hotmail.com,Q1,M,Button Down Shirt,Hoodie,LS Shirt,Crewneck Sweater,Button Down Shirt,Hoodie,Button Down Shirt,Zip up Jacket,LS Shirt,Hoodie
Dorothy,Chesterfield,San Diego,CA,dorothy@cox.net,Q1,M,Crewneck Sweater,Zip up Jacket,LS Shirt,Zip up Jacket,LS Shirt,LS Shirt,SS Shirt,SS Shirt,SS Shirt,SS Shirt
Dorthy,Hidvegi,Boise,ID,dhidvegi@yahoo.com,Q1,XS,LS Shirt,SS Shirt,Hoodie,Crewneck Sweater,LS Shirt,Crewneck Sweater,LS Shirt,Polo Shirt,Crewneck Sweater,Hoodie
Dottie,Hellickson,Seattle,WA,dottie@hellickson.org,Q1,L,Hoodie,LS Shirt,SS Shirt,SS Shirt,Crewneck Sweater,Hoodie,Hoodie,LS Shirt,Polo Shirt,SS Shirt
Dulce,Labreche,Rochester,MI,dulce_labreche@yahoo.com,Q1,L,LS Shirt,LS Shirt,SS Shirt,Hoodie,SS Shirt,Button Down Shirt,Hoodie,Hoodie,Crewneck Sweater,Crewneck Sweater
Dyan,Oldroyd,Overland Park,KS,doldroyd@aol.com,Q1,M,LS Shirt,Hoodie,Zip up Jacket,LS Shirt,Zip up Jacket,Zip up Jacket,Hoodie,Hoodie,Hoodie,Hoodie
Earleen,Mai,Dallas,TX,earleen_mai@cox.net,Q1,L,SS Shirt,SS Shirt,SS Shirt,SS Shirt,SS Shirt,Hoodie,Crewneck Sweater,LS Shirt,LS Shirt,Hoodie
Eden,Jayson,Baltimore,MD,eden_jayson@yahoo.com,Q1,XS,LS Shirt,LS Shirt,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,SS Shirt,Zip up Jacket,LS Shirt,LS Shirt
Edna,Miceli,Erie,PA,emiceli@miceli.org,Q1,L,SS Shirt,LS Shirt,Button Down Shirt,Hoodie,LS Shirt,Hoodie,Polo Shirt,LS Shirt,Button Down Shirt,Button Down Shirt
Eladia,Saulter,Ramsey,NJ,eladia@saulter.com,Q1,L,SS Shirt,Hoodie,Crewneck Sweater,Zip up Jacket,Zip up Jacket,Crewneck Sweater,LS Shirt,SS Shirt,LS Shirt,SS Shirt
Elke,Sengbusch,Phoenix,AZ,elke_sengbusch@yahoo.com,Q1,XS,Crewneck Sweater,Button Down Shirt,LS Shirt,SS Shirt,Hoodie,Crewneck Sweater,Hoodie,LS Shirt,Button Down Shirt,Polo Shirt
Elli,Mclaird,Utica,NY,emclaird@mclaird.com,Q1,S,LS Shirt,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,LS Shirt,Zip up Jacket,Crewneck Sweater,Hoodie,Crewneck Sweater
Elly,Morocco,Erie,PA,elly_morocco@gmail.com,Q1,M,Zip up Jacket,Hoodie,SS ShirtSS Shirt,Zip up Jacket,Button Down Shirt,Hoodie,LS Shirt,LS Shirt,SS Shirt,Hoodie
Elouise,Gwalthney,Bladensburg,MD,egwalthney@yahoo.com,Q1,S,Hoodie,Button Down Shirt,LS Shirt,LS Shirt,Button Down Shirt,Polo Shirt,SS Shirt,Hoodie,LS Shirt,LS Shirt
Elvera,Benimadho,San Jose,CA,elvera.benimadho@cox.net,Q1,XXL,Hoodie,Zip up Jacket,SS Shirt,LS Shirt,SS Shirt,Hoodie,SS Shirt,SS Shirt,Crewneck Sweater,Polo Shirt
Elza,Lipke,Newark,NJ,elza@yahoo.com,Q1,S,SS Shirt,Zip up Jacket,LS Shirt,Crewneck Sweater,Hoodie,Zip up Jacket,Hoodie,LS Shirt,Hoodie,SS Shirt
Emerson,Bowley,Madison,WI,emerson.bowley@bowley.org,Q1,L,Hoodie,Zip up Jacket,LS Shirt,SS Shirt,SS Shirt,Polo Shirt,LS Shirt,Hoodie,SS Shirt,Hoodie
Erick,Ferencz,Fairbanks,AK,erick.ferencz@aol.com,Q1,S,Button Down Shirt,SS Shirt,Zip up Jacket,LS Shirt,LS Shirt,Hoodie,SS Shirt,LS Shirt,Polo Shirt,LS Shirt
Erick,Nievas,Chicago,IL,erick_nievas@aol.com,Q1,M,Zip up Jacket,Crewneck Sweater,Hoodie,Zip up Jacket,Zip up Jacket,Button Down Shirt,Polo Shirt,Polo Shirt,Hoodie,Crewneck Sweater
Erinn,Canlas,Livingston,NJ,erinn.canlas@canlas.com,Q1,L,Crewneck Sweater,LS Shirt,LS Shirt,LS Shirt,Button Down Shirt,SS Shirt,SS Shirt,SS Shirt,Hoodie,Hoodie
Ernest,Syrop,Hyattsville,MD,ernest@cox.net,Q1,L,Hoodie,Zip up Jacket,Crewneck Sweater,SS Shirt,Hoodie,Button Down Shirt,Hoodie,Hoodie,Hoodie,Zip up Jacket
Ernie,Stenseth,Ridgefield Park,NJ,ernie_stenseth@aol.com,Q1,L,Crewneck Sweater,LS Shirt,LS Shirt,Hoodie,Crewneck Sweater,LS Shirt,LS Shirt,LS Shirt,LS Shirt,LS Shirt
Estrella,Samu,Beloit,WI,estrella@aol.com,Q1,M,Button Down Shirt,LS Shirt,Zip up Jacket,Crewneck Sweater,Zip up Jacket,Crewneck Sweater,SS Shirt,Hoodie,Hoodie,Hoodie
Ettie,Hoopengardner,Richland,WA,ettie.hoopengardner@hotmail.com,Q1,XXL,SS Shirt,SS Shirt,LS Shirt,LS Shirt,LS Shirt,Hoodie,Zip up Jacket,LS Shirt,Zip up Jacket,Zip up Jacket
Eun,Coody,Spartanburg,SC,eun@yahoo.com,Q1,L,Hoodie,Hoodie,LS Shirt,Polo Shirt,Crewneck Sweater,Zip up Jacket,Crewneck Sweater,Zip up Jacket,SS Shirt,SS Shirt
Evangelina,Radde,Philadelphia,PA,evangelina@aol.com,Q1,L,Button Down Shirt,Zip up Jacket,Polo Shirt,Polo Shirt,Hoodie,Crewneck Sweater,Hoodie,LS Shirt,LS Shirt,SS Shirt
Ezekiel,Chui,Easton,MD,ezekiel@chui.com,Q1,L,LS Shirt,LS Shirt,Hoodie,LS Shirt,Zip up Jacket,LS Shirt,Zip up Jacket,LS Shirt,Hoodie,Hoodie
Fabiola,Hauenstein,York,PA,fabiola.hauenstein@hauenstein.org,Q1,L,LS Shirt,SS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,Polo Shirt,LS Shirt,Polo Shirt,LS Shirt,Polo Shirt
Fannie,Lungren,Round Rock,TX,fannie.lungren@yahoo.com,Q1,M,Button Down Shirt,Button Down Shirt,LS Shirt,SS Shirt,Button Down Shirt,Zip up Jacket,Hoodie,Zip up Jacket,LS Shirt,Hoodie
Fatima,Saylors,Hopkins,MN,fsaylors@saylors.org,Q1,M,Hoodie,Crewneck Sweater,Hoodie,Crewneck Sweater,Zip up Jacket,Crewneck Sweater,LS Shirt,SS Shirt,SS Shirt,LS Shirt
Fausto,Agramonte,New York,NY,fausto_agramonte@yahoo.com,Q1,S,Zip up Jacket,LS Shirt,SS Shirt,LS Shirt,Zip up Jacket,Hoodie,SS Shirt,Zip up Jacket,Hoodie,SS Shirt
Felicidad,Poullion,Riverton,NJ,fpoullion@poullion.com,Q1,M,Zip up Jacket,SS Shirt,SS Shirt,SS Shirt,SS Shirt,Button Down Shirt,LS Shirt,LS Shirt,Hoodie,LS Shirt
Felix,Hirpara,Denver,PA,felix_hirpara@cox.net,Q1,L,Hoodie,LS Shirt,Hoodie,SS Shirt,Polo Shirt,SS Shirt,Hoodie,LS Shirt,Hoodie,Hoodie
Fernanda,Jillson,Preston,MD,fjillson@aol.com,Q1,L,SS Shirt,LS Shirt,Crewneck Sweater,SS Shirt,Hoodie,SS Shirt,SS Shirt,LS Shirt,Button Down Shirt,Hoodie
Filiberto,Tawil,Los Angeles,CA,ftawil@hotmail.com,Q1,XS,Zip up Jacket,SS Shirt,Button Down Shirt,SS Shirt,Polo Shirt,LS Shirt,Hoodie,Crewneck Sweater,SS Shirt,SS Shirt
Fletcher,Flosi,Rockford,IL,fletcher.flosi@yahoo.com,Q1,S,Polo Shirt,SS Shirt,Polo Shirt,Hoodie,Zip up Jacket,Crewneck Sweater,LS Shirt,SS Shirt,LS Shirt,Crewneck Sweater
Flo,Bookamer,Alliance,NE,flo.bookamer@cox.net,Q1,XS,LS Shirt,LS Shirt,Hoodie,Hoodie,SS Shirt,Crewneck Sweater,SS Shirt,LS Shirt,Button Down Shirt,Button Down Shirt
France,Buzick,Brooklyn,NY,france.buzick@yahoo.com,Q1,S,LS Shirt,Zip up Jacket,LS Shirt,LS Shirt,Hoodie,LS Shirt,Hoodie,Hoodie,LS Shirt,SS Shirt
Francine,Vocelka,Las Cruces,NM,francine_vocelka@vocelka.com,Q1,M,Polo Shirt,LS Shirt,LS Shirt,Crewneck Sweater,SS Shirt,SS Shirt,LS Shirt,Zip up Jacket,SS Shirt,SS Shirt
Franklyn,Emard,Philadelphia,PA,femard@emard.com,Q1,L,SS Shirt,Hoodie,Crewneck Sweater,LS Shirt,Button Down Shirt,Zip up Jacket,Hoodie,Hoodie,Hoodie,Hoodie
Frederica,Blunk,Dallas,TX,frederica_blunk@gmail.com,Q1,S,Polo Shirt,Crewneck Sweater,Polo Shirt,Crewneck Sweater,Polo Shirt,LS Shirt,SS Shirt,LS Shirt,SS Shirt,LS Shirt
Freeman,Gochal,Coatesville,PA,freeman_gochal@aol.com,Q1,XXL,SS Shirt,Hoodie,Zip up Jacket,Hoodie,Hoodie,Crewneck Sweater,SS Shirt,LS Shirt,Polo Shirt,Crewneck Sweater
Gail,Kitty,Anchorage,AK,gail@kitty.com,Q1,L,Polo Shirt,Crewneck Sweater,LS Shirt,Crewneck Sweater,Zip up Jacket,SS Shirt,Hoodie,SS Shirt,Crewneck Sweater,Button Down Shirt
Gail,Similton,Thousand Palms,CA,gail_similton@similton.com,Q1,XS,Zip up Jacket,LS Shirt,Zip up Jacket,LS Shirt,Crewneck Sweater,SS Shirt,Crewneck Sweater,SS Shirt,Crewneck Sweater,LS Shirt
Galen,Cantres,Brook Park,OH,galen@yahoo.com,Q1,L,Crewneck Sweater,Hoodie,Hoodie,Zip up Jacket,LS Shirt,Hoodie,SS Shirt,Polo Shirt,LS Shirt,Polo Shirt
Garry,Keetch,Southampton,PA,garry_keetch@hotmail.com,Q1,XXL,LS Shirt,Crewneck Sweater,LS Shirt,Button Down Shirt,SS Shirt,Zip up Jacket,LS Shirt,SS Shirt,Hoodie,SS Shirt
Gary,Nunlee,Fortville,IN,gary_nunlee@nunlee.org,Q1,XXL,Hoodie,SS Shirt,Crewneck Sweater,LS Shirt,Hoodie,Button Down Shirt,Zip up Jacket,LS Shirt,LS Shirt,Hoodie
Gayla,Schnitzler,Hayward,CA,gschnitzler@gmail.com,Q1,XL,LS Shirt,Button Down Shirt,Zip up Jacket,LS Shirt,SS Shirt,LS Shirt,Hoodie,LS Shirt,SS Shirt,SS Shirt
Gearldine,Gellinger,Irving,TX,gearldine_gellinger@gellinger.com,Q1,M,LS Shirt,Zip up Jacket,Hoodie,LS Shirt,SS Shirt,LS Shirt,SS Shirt,SS Shirt,Polo Shirt,SS Shirt
Geoffrey,Acey,Palatine,IL,geoffrey@gmail.com,Q1,S,LS Shirt,Crewneck Sweater,Zip up Jacket,Crewneck Sweater,Hoodie,Button Down Shirt,Hoodie,LS Shirt,Hoodie,Hoodie
Georgene,Montezuma,San Ramon,CA,gmontezuma@cox.net,Q1,L,Button Down Shirt,SS Shirt,Zip up Jacket,LS Shirt,LS Shirt,Zip up Jacket,LS Shirt,SS Shirt,Button Down Shirt,SS Shirt
Gertude,Witten,Cincinnati,OH,gertude.witten@gmail.com,Q1,M,Button Down Shirt,Hoodie,LS Shirt,Hoodie,Crewneck Sweater,Zip up Jacket,Polo Shirt,Hoodie,Zip up Jacket,Hoodie
Gilma,Liukko,Garden City,NY,gilma_liukko@gmail.com,Q1,M,Button Down Shirt,Zip up Jacket,Hoodie,SS Shirt,SS Shirt,Hoodie,Crewneck Sweater,SS Shirt,Hoodie,Hoodie
Gladys,Rim,Milwaukee,WI,gladys.rim@rim.org,Q1,M,Zip up Jacket,SS Shirt,Crewneck Sweater,Crewneck Sweater,LS Shirt,SS Shirt,Zip up Jacket,Zip up Jacket,LS Shirt,Hoodie
Glen,Bartolet,Vashon,WA,glen_bartolet@hotmail.com,Q1,L,Hoodie,SS Shirt,LS Shirt,Crewneck Sweater,Crewneck Sweater,LS Shirt,Button Down Shirt,Hoodie,Hoodie,Hoodie
Glendora,Sarbacher,Rohnert Park,CA,gsarbacher@gmail.com,Q1,L,Polo Shirt,SS Shirt,Hoodie,SS Shirt,LS Shirt,Hoodie,Button Down Shirt,LS Shirt,LS Shirt,LS Shirt
Glenn,Berray,Des Moines,IA,gberray@gmail.com,Q1,M,SS Shirt,Hoodie,SS Shirt,SS Shirt,Hoodie,Zip up Jacket,Hoodie,SS Shirt,SS Shirt,LS Shirt
Glenna,Slayton,Memphis,TN,glenna_slayton@cox.net,Q1,M,Zip up Jacket,Crewneck Sweater,Zip up Jacket,Hoodie,Zip up Jacket,LS Shirt,SS Shirt,Button Down Shirt,Hoodie,Zip up Jacket
Glory,Kulzer,Owings Mills,MD,gkulzer@kulzer.org,Q1,M,Zip up Jacket,Zip up Jacket,Hoodie,LS Shirt,LS Shirt,Zip up Jacket,Button Down Shirt,Button Down Shirt,Zip up Jacket,Button Down Shirt
Glory,Schieler,Abilene,TX,glory@yahoo.com,Q1,L,Button Down Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Hoodie,Crewneck Sweater,Hoodie,Polo Shirt,Polo Shirt,Hoodie
Golda,Kaniecki,Toms River,NJ,golda_kaniecki@yahoo.com,Q1,L,Button Down Shirt,LS Shirt,Crewneck Sweater,LS Shirt,LS Shirt,Button Down Shirt,Zip up Jacket,LS Shirt,SS Shirt,LS Shirt
Goldie,Schirpke,Bangor,ME,goldie.schirpke@yahoo.com,Q1,XXL,Polo Shirt,Zip up Jacket,LS Shirt,Zip up Jacket,Crewneck Sweater,Zip up Jacket,LS Shirt,Polo Shirt,Polo Shirt,SS Shirt
Gracia,Melnyk,Jacksonville,FL,gracia@melnyk.com,Q1,M,Hoodie,SS Shirt,Hoodie,SS Shirt,Hoodie,Button Down Shirt,SS Shirt,SS Shirt,Hoodie,Hoodie
Graciela,Ruta,Chagrin Falls,OH,gruta@cox.net,Q1,M,Crewneck Sweater,Zip up Jacket,SS Shirt,Crewneck Sweater,LS Shirt,Button Down Shirt,Zip up Jacket,Crewneck Sweater,Button Down Shirt,Hoodie
Gregoria,Pawlowicz,Garden City,NY,gpawlowicz@yahoo.com,Q1,L,LS Shirt,LS Shirt,SS Shirt,LS Shirt,Polo Shirt,SS Shirt,Polo Shirt,Polo Shirt,Polo Shirt,Hoodie
Gwenn,Suffield,Deer Park,NY,gwenn_suffield@suffield.org,Q1,L,SS Shirt,Hoodie,Hoodie,LS Shirt,SS Shirt,Hoodie,LS Shirt,SS Shirt,LS Shirt,Hoodie
Harrison,Haufler,New Haven,CT,hhaufler@hotmail.com,Q1,M,Crewneck Sweater,Crewneck Sweater,SS Shirt,LS Shirt,Crewneck Sweater,Crewneck Sweater,Hoodie,LS Shirt,LS Shirt,LS Shirt
Haydee,Denooyer,New York,NY,hdenooyer@denooyer.org,Q1,M,Hoodie,SS Shirt,Crewneck Sweater,LS Shirt,SS Shirt,Hoodie,Hoodie,SS Shirt,Crewneck Sweater,Hoodie
Heike,Berganza,Little Falls,NJ,heike@gmail.com,Q1,M,Crewneck Sweater,Hoodie,SS Shirt,LS Shirt,SS Shirt,Zip up Jacket,SS Shirt,LS Shirt,Crewneck Sweater,Polo Shirt
Helaine,Halter,Jersey City,NJ,hhalter@yahoo.com,Q1,L,LS Shirt,LS Shirt,Zip up Jacket,Crewneck Sweater,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Hoodie,Hoodie
Helene,Rodenberger,Peoria,AZ,helene@aol.com,Q1,M,Crewneck Sweater,Hoodie,SS Shirt,SS Shirt,Hoodie,SS Shirt,Button Down Shirt,SS Shirt,SS Shirt,LS Shirt
Helga,Fredicks,Buffalo,NY,helga_fredicks@yahoo.com,Q1,S,LS Shirt,Zip up Jacket,LS Shirt,SS Shirt,SS Shirt,Hoodie,SS Shirt,Polo Shirt,SS Shirt,LS Shirt
Herman,Demesa,Troy,NY,hdemesa@cox.net,Q1,M,Button Down Shirt,LS Shirt,Zip up Jacket,Zip up Jacket,Hoodie,Button Down Shirt,Button Down Shirt,LS Shirt,LS Shirt,SS Shirt
Hermila,Thyberg,Providence,RI,hermila_thyberg@hotmail.com,Q1,L,SS Shirt,Hoodie,Crewneck Sweater,Button Down Shirt,Zip up Jacket,Polo Shirt,Button Down Shirt,LS Shirt,SS Shirt,Hoodie
Herminia,Nicolozakes,Scottsdale,AZ,herminia@nicolozakes.org,Q1,L,LS Shirt,SS Shirt,Hoodie,LS Shirt,SS Shirt,LS Shirt,SS Shirt,SS Shirt,SS Shirt,LS Shirt
Hillary,Skulski,Homosassa,FL,hillary.skulski@aol.com,Q1,L,Button Down Shirt,Zip up Jacket,LS Shirt,SS Shirt,Zip up Jacket,Crewneck Sweater,Hoodie,Hoodie,Hoodie,LS Shirt
Hoa,Sarao,Oak Hill,FL,hoa@sarao.org,Q1,M,Crewneck Sweater,Crewneck Sweater,Zip up Jacket,Hoodie,Zip up Jacket,Button Down Shirt,SS Shirt,SS Shirt,Crewneck Sweater,SS Shirt
Howard,Paulas,Denver,CO,hpaulas@gmail.com,Q1,XXL,Hoodie,LS Shirt,LS Shirt,Crewneck Sweater,Zip up Jacket,LS Shirt,Hoodie,SS Shirt,Hoodie,Hoodie
Hubert,Walthall,Barberton,OH,hubert@walthall.org,Q1,L,SS Shirt,LS Shirt,Crewneck Sweater,SS Shirt,Button Down Shirt,Crewneck Sweater,Hoodie,SS Shirt,LS Shirt,Hoodie
Ilene,Eroman,Glen Burnie,MD,ilene.eroman@hotmail.com,Q1,M,Crewneck Sweater,LS Shirt,Hoodie,SS Shirt,SS Shirt,Button Down Shirt,Hoodie,SS Shirt,Hoodie,Zip up Jacket
Iluminada,Ohms,Mesa,AZ,iluminada.ohms@yahoo.com,Q1,L,Polo Shirt,Zip up Jacket,Zip up Jacket,SS Shirt,LS Shirt,Zip up Jacket,Zip up Jacket,LS Shirt,Button Down Shirt,SS Shirt
Irma,Wolfgramm,Randolph,NJ,irma.wolfgramm@hotmail.com,Q1,L,SS Shirt,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Hoodie,Crewneck Sweater,Polo Shirt,Polo Shirt,Hoodie
Izetta,Dewar,Baltimore,MD,idewar@dewar.com,Q1,M,LS Shirt,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,Button Down Shirt,Polo Shirt,Hoodie,Hoodie,Hoodie
Izetta,Funnell,Atlanta,GA,izetta.funnell@hotmail.com,Q1,XS,Hoodie,SS Shirt,SS Shirt,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,LS Shirt,LS Shirt,LS Shirt
Jaclyn,Bachman,Colorado Springs,CO,jaclyn@aol.com,Q1,L,Crewneck Sweater,Button Down Shirt,LS Shirt,Hoodie,LS Shirt,SS Shirt,Zip up Jacket,Zip up Jacket,Crewneck Sweater,Hoodie
Jacqueline,Rowling,Erie,PA,jacqueline.rowling@yahoo.com,Q1,S,Hoodie,LS Shirt,LS Shirt,Crewneck Sweater,Crewneck Sweater,Button Down Shirt,SS Shirt,Crewneck Sweater,SS Shirt,SS Shirt
Jade,Farrar,Columbia,SC,jade.farrar@yahoo.com,Q1,XXL,Button Down Shirt,LS Shirt,Zip up Jacket,SS Shirt,LS Shirt,Hoodie,SS Shirt,Button Down Shirt,LS Shirt,Hoodie
Jamal,Vanausdal,Monroe Township,NJ,jamal@vanausdal.org,Q1,L,SS Shirt,Hoodie,LS Shirt,Zip up Jacket,Crewneck Sweater,Button Down Shirt,Hoodie,SS Shirt,LS Shirt,Hoodie
James,Butt,New Orleans,LA,jbutt@gmail.com,Q1,L,Polo Shirt,Zip up Jacket,Zip up Jacket,SS Shirt,Hoodie,LS Shirt,SS Shirt,LS Shirt,Hoodie,Zip up Jacket
Janey,Gabisi,Madison,WI,jgabisi@hotmail.com,Q1,L,LS Shirt,SS Shirt,LS Shirt,Zip up Jacket,Hoodie,LS Shirt,Polo Shirt,SS Shirt,Zip up Jacket,SS Shirt
Jani,Biddy,Seattle,WA,jbiddy@yahoo.com,Q1,M,SS Shirt,Hoodie,Crewneck Sweater,SS Shirt,SS Shirt,SS Shirt,SS Shirt,Hoodie,LS Shirt,Hoodie
Janine,Rhoden,Astoria,NY,jrhoden@yahoo.com,Q1,L,Hoodie,Zip up Jacket,SS Shirt,Hoodie,SS Shirt,Button Down Shirt,LS Shirt,Button Down Shirt,Hoodie,Hoodie
Jeanice,Claucherty,Miami,FL,jeanice.claucherty@yahoo.com,Q1,M,LS Shirt,Zip up Jacket,SS Shirt,Crewneck Sweater,LS Shirt,Zip up Jacket,Hoodie,LS Shirt,Polo Shirt,Hoodie
Jenelle,Regusters,Tampa,FL,jregusters@regusters.com,Q1,L,Polo Shirt,Crewneck Sweater,Hoodie,Zip up Jacket,LS Shirt,Hoodie,Polo Shirt,LS Shirt,LS Shirt,LS Shirt
Jennie,Drymon,Scranton,PA,jennie@cox.net,Q1,S,Hoodie,Crewneck Sweater,SS Shirt,LS Shirt,Zip up Jacket,Crewneck Sweater,LS Shirt,SS Shirt,Hoodie,Hoodie
Jennifer,Fallick,Wheeling,IL,jfallick@yahoo.com,Q1,M,Button Down Shirt,SS Shirt,Hoodie,LS Shirt,Button Down Shirt,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,SS Shirt
Jerry,Dallen,Richmond,VA,jerry.dallen@yahoo.com,Q1,XL,Zip up Jacket,LS Shirt,LS Shirt,Zip up Jacket,Zip up Jacket,Hoodie,SS Shirt,Zip up Jacket,Crewneck Sweater,Hoodie
Jerry,Zurcher,Satellite Beach,FL,jzurcher@zurcher.org,Q1,M,SS Shirt,Hoodie,LS Shirt,Hoodie,Crewneck Sweater,Crewneck Sweater,SS Shirt,Zip up Jacket,Hoodie,SS Shirt
Jess,Chaffins,New York,NY,jess.chaffins@chaffins.org,Q1,L,Crewneck Sweater,Zip up Jacket,Zip up Jacket,LS Shirt,Crewneck Sweater,Zip up Jacket,Crewneck Sweater,Crewneck Sweater,Polo Shirt,SS Shirt
Jesusa,Shin,Tullahoma,TN,jshin@shin.com,Q1,M,Hoodie,SS Shirt,Hoodie,SS Shirt,SS Shirt,LS Shirt,Hoodie,SS Shirt,Button Down Shirt,SS Shirt
Jesusita,Flister,Lancaster,PA,jesusita.flister@hotmail.com,Q1,XS,LS Shirt,LS Shirt,SS Shirt,Zip up Jacket,Hoodie,Zip up Jacket,LS Shirt,Hoodie,Hoodie,Hoodie
Jettie,Mconnell,Bridgewater,NJ,jmconnell@hotmail.com,Q1,M,Crewneck Sweater,LS Shirt,SS Shirt,SS Shirt,Zip up Jacket,Zip up Jacket,SS Shirt,Zip up Jacket,LS Shirt,LS Shirt
Jina,Briddick,Boston,MA,jina_briddick@briddick.com,Q1,M,Hoodie,Zip up Jacket,LS Shirt,Hoodie,Zip up Jacket,Hoodie,Hoodie,LS Shirt,LS Shirt,SS Shirt
Joanna,Leinenbach,Lake Worth,FL,joanna_leinenbach@hotmail.com,Q1,L,Crewneck Sweater,Zip up Jacket,Hoodie,LS Shirt,Button Down Shirt,Hoodie,Polo Shirt,Polo Shirt,SS Shirt,SS Shirt
Joesph,Degonia,Berkeley,CA,joesph_degonia@degonia.org,Q1,M,Zip up Jacket,SS Shirt,SS Shirt,Zip up Jacket,Zip up Jacket,Button Down Shirt,SS Shirt,LS Shirt,Hoodie,LS Shirt
Johnetta,Abdallah,Chapel Hill,NC,johnetta_abdallah@aol.com,Q1,M,Zip up Jacket,Hoodie,Zip up Jacket,LS Shirt,Zip up Jacket,Hoodie,Hoodie,Hoodie,SS Shirt,Hoodie
Johnna,Engelberg,Bothell,WA,jengelberg@engelberg.org,Q1,M,Hoodie,Crewneck Sweater,Hoodie,SS Shirt,SS Shirt,SS Shirt,LS Shirt,SS Shirt,SS Shirt,LS Shirt
Jolanda,Hanafan,Bangor,ME,jhanafan@gmail.com,Q1,XL,SS Shirt,SS Shirt,Crewneck Sweater,Hoodie,SS Shirt,Zip up Jacket,Button Down Shirt,LS Shirt,Hoodie,LS Shirt
Jolene,Ostolaza,Newport News,VA,jolene@yahoo.com,Q1,S,LS Shirt,Crewneck Sweater,LS Shirt,Polo Shirt,SS Shirt,Crewneck Sweater,Zip up Jacket,Zip up Jacket,Hoodie,Hoodie
Joni,Breland,Elk Grove Village,IL,joni_breland@cox.net,Q1,L,SS Shirt,Hoodie,Polo Shirt,Hoodie,Zip up Jacket,LS Shirt,Crewneck Sweater,SS Shirt,Hoodie,Hoodie
Jose,Stockham,New York,NY,jose@yahoo.com,Q1,S,Crewneck Sweater,SS Shirt,Zip up Jacket,SS Shirt,Crewneck Sweater,Crewneck Sweater,Zip up Jacket,Zip up Jacket,Zip up Jacket,Zip up Jacket
Joseph,Cryer,Huntington Beach,CA,joseph_cryer@cox.net,Q1,L,Hoodie,Polo Shirt,LS Shirt,LS Shirt,LS Shirt,Crewneck Sweater,Polo Shirt,LS Shirt,SS Shirt,LS Shirt
Josephine,Darakjy,Brighton,MI,josephine_darakjy@darakjy.org,Q1,M,LS Shirt,Zip up Jacket,Crewneck Sweater,SS Shirt,SS Shirt,Zip up Jacket,SS Shirt,Hoodie,Hoodie,SS Shirt
Josphine,Villanueva,Moss,TN,josphine_villanueva@villanueva.com,Q1,L,Hoodie,LS Shirt,SS Shirt,Hoodie,Crewneck Sweater,Hoodie,Zip up Jacket,Crewneck Sweater,Zip up Jacket,Hoodie
Jovita,Oles,Daytona Beach,FL,joles@gmail.com,Q1,S,SS Shirt,LS Shirt,Zip up Jacket,Crewneck Sweater,LS Shirt,Zip up Jacket,LS Shirt,Button Down Shirt,LS Shirt,Hoodie
Judy,Aquas,Niles,MI,jaquas@aquas.com,Q1,M,LS Shirt,Zip up Jacket,Hoodie,Crewneck Sweater,Hoodie,SS Shirt,Button Down Shirt,SS Shirt,Hoodie,Hoodie
Junita,Brideau,Cedar Grove,NJ,jbrideau@aol.com,Q1,L,Hoodie,Crewneck Sweater,LS Shirt,Zip up Jacket,Zip up Jacket,Polo Shirt,Zip up Jacket,Button Down Shirt,SS Shirt,SS Shirt
Junita,Stoltzman,Carson City,NV,junita@aol.com,Q1,S,Zip up Jacket,Zip up Jacket,Polo Shirt,Polo Shirt,SS Shirt,Polo Shirt,Polo Shirt,LS Shirt,Polo Shirt,Zip up Jacket
Justine,Ferrario,Pomona,CA,jferrario@hotmail.com,Q1,L,Zip up Jacket,Hoodie,Zip up Jacket,Button Down Shirt,SS Shirt,Button Down Shirt,Hoodie,Hoodie,SS Shirt,Zip up Jacket
